,Date,User,Tweet,Likes
83,2022-01-21 05:45:03+00:00,elonmusk,@teslaownersSV An SUV that is faster than a Formula 1 race car https://t.co/43YJpFDGpf,6847
84,2022-01-21 04:25:56+00:00,elonmusk,@Rainmaker1973 @supriyasahuias Baby X is just like this haha,18230
85,2022-01-21 00:28:26+00:00,elonmusk,@Nitzao @bevedoni Most people have no idea,4573
86,2022-01-20 08:28:07+00:00,elonmusk,@BLKMDL3 Yeah,21233
87,2022-01-20 03:57:33+00:00,elonmusk,Maybe something like this https://t.co/PUBLdaewt8,85521
88,2022-01-20 03:45:25+00:00,elonmusk,https://t.co/rTlxHR4zi1,319543
89,2022-01-20 03:17:49+00:00,elonmusk,Frank &amp; Beans https://t.co/xJfuW6HKs4,66803
90,2022-01-19 21:01:55+00:00,elonmusk,@blueskykites @Grimezsz @WholeMarsBlog @SpaceXMR @musky_meme @CovelloMassimo @SpaceX @Kristennetten @EliBurton_ @Erdayastronaut @28delayslater @TeslaAndDoge @bevedoni @TeslaHype @OwenSparks_ @RationalEtienne It’s true – I do think a lot about rocket engine chamber pressure ahaha,17056
91,2022-01-19 18:27:20+00:00,elonmusk,@hiromichimizuno Same,5996
92,2022-01-19 17:12:38+00:00,elonmusk,@sdteslaowners @Alandbru Ok,2997
93,2022-01-19 17:11:23+00:00,elonmusk,@nichegamer But is he playing it on Legendary difficulty?,8097
94,2022-01-19 10:01:17+00:00,elonmusk,@stevenmarkryan Will do our best. Decentralized control of the robots will be critical.,6789
95,2022-01-19 09:59:00+00:00,elonmusk,@WholeMarsBlog @RealDanODowd Sheer luck,5057
96,2022-01-19 09:28:51+00:00,elonmusk,@AdamSinger I hear versions of this often irl,3187
97,2022-01-19 09:11:10+00:00,elonmusk,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus",84659
98,2022-01-19 08:28:16+00:00,elonmusk,https://t.co/n2ivCG4E8b,172458
99,2022-01-19 02:51:53+00:00,elonmusk,Believe in the future!,361190
100,2022-01-19 02:49:42+00:00,elonmusk,Back to the moon soon,107645
101,2022-01-19 02:46:07+00:00,elonmusk,https://t.co/vltBvTXExY,264009
102,2022-01-19 02:19:24+00:00,elonmusk,@SpaceX Another 49 Starlinks reach orbit,21428
103,2022-01-19 01:38:56+00:00,elonmusk,@PPathole @Tesla I was just there. Good progress!,4978
104,2022-01-19 00:42:18+00:00,elonmusk,@tesla_raj People do not yet understand how valuable an autonomous vehicle will be,10671
105,2022-01-19 00:14:58+00:00,elonmusk,@nichegamer https://t.co/mzY5LICG8r,1703
106,2022-01-19 00:10:25+00:00,elonmusk,"@nichegamer Last year, Japan had ~800k births &amp; life expectancy is 85 years (impressively high!), implying future population of only 68M, dropping almost half from current population of 126M.

That’s a lot of ghost towns &amp; cities.",7489
107,2022-01-18 22:42:37+00:00,elonmusk,@jhall Tragic case of ego/ability&gt;&gt;1,2295
108,2022-01-18 19:49:30+00:00,elonmusk,https://t.co/OE5bjbf6Gq,25843
109,2022-01-18 19:47:25+00:00,elonmusk,https://t.co/xMaVipUuYf,24153
110,2022-01-18 17:08:52+00:00,elonmusk,"If there aren’t enough people for Earth, then there definitely won’t be enough for Mars ☹️",54514
111,2022-01-18 17:06:50+00:00,elonmusk,@sweetsinner3 Trying to set a good example 😀,13492
112,2022-01-18 17:06:08+00:00,elonmusk,@lukemiler Exactly,3921
113,2022-01-18 17:05:50+00:00,elonmusk,"UN projections are utter nonsense. Just multiply last year’s births by life expectancy. Given downward trend in birth rate, that is best case unless reversed.",40755
114,2022-01-18 17:02:24+00:00,elonmusk,We should be much more worried about population collapse,187155
115,2022-01-18 15:44:00+00:00,elonmusk,@Rainmaker1973 I see where Frank Herbert got some of his ideas,6683
116,2022-01-18 07:56:47+00:00,elonmusk,@heydave7 🤣,3887
117,2022-01-18 07:18:46+00:00,elonmusk,@WholeMarsBlog Yup,2809
118,2022-01-18 06:53:52+00:00,elonmusk,@BillyM2k Honestly I woulda clicked it,7972
119,2022-01-18 06:19:24+00:00,elonmusk,"@teslaownersSV Spatial &amp; temporal memory are improving, so there will be less flicker",10840
120,2022-01-18 03:09:22+00:00,elonmusk,"@SawyerMerritt Yeah, unfortunately this is becoming a security issue",11494
121,2022-01-18 02:44:21+00:00,elonmusk,"@PPathole Cool, we’re both born 69 days after 4/20 haha",34445
122,2022-01-17 23:02:41+00:00,elonmusk,"@DriveTeslaca I obv can’t comment on every rumor, but this isn’t true. Am headed to Berlin mid Feb, not this week.",8141
123,2022-01-17 21:03:53+00:00,elonmusk,@teslaownersSV Pretty wild,16296
124,2022-01-17 17:59:09+00:00,elonmusk,@pmarca Accurate video 🤣,3686
125,2022-01-17 17:04:48+00:00,elonmusk,@WholeMarsBlog 10.9 going out later this week,3667
126,2022-01-17 15:14:43+00:00,elonmusk,@WholeMarsBlog Indeed 🧐,8902
127,2022-01-17 05:00:07+00:00,elonmusk,@pervocracy 🤣👍,7898
128,2022-01-16 23:58:06+00:00,elonmusk,@BillyM2k Yeah,14433
129,2022-01-16 23:41:39+00:00,elonmusk,@NoahWebb_ We will start rolling out FSD beta in Canada cautiously in next 2 to 4 weeks,7067
130,2022-01-16 23:32:47+00:00,elonmusk,😅,67707
131,2022-01-16 23:31:47+00:00,elonmusk,Good thing I never tweet anything controversial https://t.co/T7sD1q1hvd,249826
132,2022-01-16 23:17:13+00:00,elonmusk,@heydave7 @RealDanODowd @nytimes @Tesla @RealDawnProject Green Hills software is a pile of trash. Linux ftw.,9339
133,2022-01-16 23:12:29+00:00,elonmusk,It is heartening to see the rise of individualist vs corporate media https://t.co/7w9WDHhO3o,317924
134,2022-01-16 21:06:32+00:00,elonmusk,"@lexfridman In theory, it saves landing leg mass &amp; enables immediate reflight of an otherwise unwieldy, giant rocket",7109
135,2022-01-16 20:50:19+00:00,elonmusk,@GerberKawasaki Correct,12084
136,2022-01-16 11:45:27+00:00,elonmusk,@TheHorrorMaster Good campaign,21990
137,2022-01-16 11:25:23+00:00,elonmusk,@archillect There sure are a lot of interesting ways to arrange pixels,10179
138,2022-01-16 09:04:19+00:00,elonmusk,@archillect AI in a box that is a hall of mirrors from the inside,11479
139,2022-01-16 06:49:23+00:00,elonmusk,@WorldAndScience Civilization is only ~5000 years old https://t.co/SMHYvKvr3D,6619
140,2022-01-16 06:19:15+00:00,elonmusk,So informative https://t.co/rTktvhYukK,238813
141,2022-01-16 03:17:49+00:00,elonmusk,"@Rainmaker1973 There is a 💯 chance of *all* species extinction due to expansion of the sun, unless humanity makes life multiplanetary",8252
142,2022-01-16 01:34:09+00:00,elonmusk,@clarkmoody https://t.co/siHLbpx4Ua,6691
143,2022-01-16 00:42:57+00:00,elonmusk,@DriveTeslaca @Tesla Firmware fix to recalibrate heat pump expansion valve is rolling out now,4864
144,2022-01-16 00:03:47+00:00,elonmusk,@DriveTeslaca @Tesla Fixing this is a high priority,7523
145,2022-01-15 23:30:10+00:00,elonmusk,https://t.co/6qGivJoQf0,194107
146,2022-01-15 18:50:33+00:00,elonmusk,"1469 Starlink satellites active
272 moving to operational orbits
Laser links activate soon",139627
147,2022-01-15 07:09:37+00:00,elonmusk,🔝,186500
148,2022-01-15 03:31:59+00:00,elonmusk,@BillyM2k Birds are a myth,28937
149,2022-01-14 17:58:22+00:00,elonmusk,@Rainmaker1973 😮,10150
150,2022-01-14 06:18:50+00:00,elonmusk,Tesla merch buyable with Dogecoin,321168
151,2022-01-14 04:50:06+00:00,elonmusk,"@cleantechnica Yeah, doesn’t make sense",7884
152,2022-01-13 20:28:08+00:00,elonmusk,@Teslarati @ResidentSponge Almost all input is error. Car should do the right thing automatically.,9182
153,2022-01-13 20:20:42+00:00,elonmusk,@askerlee @giffmana Dojo,4481
154,2022-01-13 13:20:28+00:00,elonmusk,@Rainmaker1973 Yup,3075
155,2022-01-13 13:01:49+00:00,elonmusk,@wintonARK Turns out … yes,3220
156,2022-01-12 23:02:42+00:00,elonmusk,@PPathole @Tesla Still working through a lot of challenges with the government,33411
157,2022-01-12 07:14:09+00:00,elonmusk,@Model3Owners Great explanation!,2955
158,2022-01-12 04:25:22+00:00,elonmusk,@engineers_feed He was truly exceptional,12057
159,2022-01-12 04:10:25+00:00,elonmusk,Bizarre anti-environment move by govt of California,67312
160,2022-01-12 00:00:37+00:00,elonmusk,"@vincent13031925 Tesla is working as fast as possible to support Tesla owners worldwide. 

Sustainable energy affects everyone on Earth, as we all share one atmosphere.",18896
